the_geom,cartodb_id,_name_,_address_,_city_,_lon_,_lat_
,1,'Dunkin'' Donuts','4125 S Eastern Ave','Las Vegas',-115.119631,36.113896
,2,'Starbucks','2411 W Sahara Ave','Las Vegas',-115.174748,36.14331
,3,'Starbucks','651 N Rainbow Blvd 110','Las Vegas',-115.242558,36.179433
,4,'Starbucks','3720 Las Vegas Blvd S','Las Vegas',-115.174339,36.107784
,5,'Dunkin'' Donuts','5111 Boulder Hwy','Las Vegas',-115.060865,36.113515
,6,'Starbucks','8780 W Charleston Blvd','Las Vegas',-115.287466,36.159547
,7,'The Whole Bean','3441 W Sahara Ave','Las Vegas',-115.187416,36.143422
,8,'La Belle Terre Bread French Bakery Caf̩','8390 W Sahara Ave 130','Las Vegas',-115.274144,36.14439
,9,'Starbucks','3730 Las Vegas Blvd S','Las Vegas',-115.176921,36.106666
,10,'Starbucks','4505 S Maryland Pkwy','Las Vegas',-115.142051,36.10459
,11,'Cafe Gelato','3480 S Maryland Pkwy 103','Las Vegas',-115.136876,36.127511
,12,'Starbucks','7220 W Azure Dr','Las Vegas',-115.252966,36.274171
,13,'Dunkin'' Donuts','5905 W Sahara Ave','Las Vegas',-115.222453,36.14405
,14,'No1 Boba Tea','9711 S Eastern Ave H12','Las Vegas',-115.118961,36.013259
,15,'Starbucks','4100 Blue Diamond Rd','Las Vegas',-115.195058,36.040409
,16,'Jumbo Boba Tea & Smoothies','5300 Spring Mountain Rd 108','Las Vegas',-115.213879,36.126507
,17,'Waffles Cafe','6446 N Durango Dr 150','Las Vegas',-115.28758,36.27785
,18,'Starbucks','3200 Las Vegas Blvd S','Las Vegas',-115.169972,36.126218
,19,'The Coffee Bean & Tea Leaf','6599 Las Vegas Blvd S 8149','Las Vegas',-115.172692,36.069264
,20,'Moderna Tea','3325 Las Vegas Blvd S','Las Vegas',-115.16873,36.122395
,21,'Starbucks','3850 Las Vegas Blvd S','Las Vegas',-115.176621,36.097113
,22,'Tea Drops Boba Supplies LV','4568 Spring Mountain Rd 10','Las Vegas',-115.20339,36.126434
