Name of location,Number of films in this location,latitude,longitude,Names of films
"Big Bear, California, USA",1,34.24390000000005,-116.91141999999996,Secret Santa
"Lubbock, Texas, USA",1,33.58451000000008,-101.84500999999995,Almost Paradise: Norman Petty Recording Studios - The Definitive History
"Birmingham, Alabama, USA",1,33.52068000000003,-86.81175999999994,White Trash Freaks
"Altona Beach, Melbourne, Victoria",1,-37.87114999999994,144.83739000000003,"""Next: Ride the Wave"""
"Texas, USA",1,31.46273304600004,-99.33305008999997,Loss
"Kensington, London, England, UK",1,51.49014000000005,-0.16247999999995955,"""News at Ten"""
"Mumbai, Maharashtra, India",2,18.940170000000023,72.83486000000005,"""McMafia""<br>Mr. Clown"
"Indian Palace Restaurant, Balmain, New South Wales, Australia",1,-33.857919992209695,151.18298001110858,One Less God
"Louisville, Kentucky, USA",1,38.254860000000065,-85.76639999999998,Anxiety
"Bern, Switzerland",1,46.94843000000003,7.44046000000003,Dear America: The National Initiative
Argentina,1,-35.49575818399995,-65.07154210799996,Otra madre
"Rudraprayag, Uttarakhand, India",1,30.285550000000057,78.98144000000008,Himalayan Hope
"Corpus Christi, Texas, USA",1,27.796410000000037,-97.40373999999997,"The Date: A Tale of Love, Horror and Revenge"
"Bivange, Luxembourg",1,49.54288000000008,6.137350000000026,L'Annonce
"Poprad, Slovakia",1,49.05567000000008,20.305310000000077,Mister Supranational 2017
"Mayor Baxter Woods, Portland, Maine, USA",1,43.66292832846207,-70.27476326130828,Wizard Wars
"Honolulu, Hawaii, USA",1,21.30493000000007,-157.85787999999997,"""Swell"""
"Oro Grande, California, USA",1,34.599140000000034,-117.33475999999996,Cannibal Corpse Killers
"Palos Verdes, California, USA",1,33.76446000000004,-118.34423999999996,Taimane: Fire
"Pereira bungalow, Madh Island, Mumbai, Maharashtra, India",1,19.14680000000004,72.79064000000005,That Transient Interval
"Apatin, Vojvodina, Serbia",1,45.67295000000007,18.98245000000003,Povratak
"Herne Hill, London, England, UK",1,51.45529000000005,-0.09927999999996473,Marcello
"Tiwi Islands, Northern Territory, Australia",1,-11.316649999999981,130.92169,"""The Wanderers"""
"Gold Coast, Queensland, Australia",1,-28.002359999999953,153.4286300000001,The War on Drugs
"Old Delhi, Central Delhi, Delhi, India",1,28.65432000000004,77.23259000000007,In the Shadows
"Terrassa, Barcelona, Catalonia, Spain",1,41.56090000000006,2.008600000000058,Matar a Dios
"Douaumont Ossuary, Douaumont, Meuse, France",1,49.218710000000044,5.43405000000007,Les Brumes du Souvenir
"Ottawa, Ontario, Canada",1,45.42178000000007,-75.69115999999997,The Tourist Guide: Ottawa Universe
"Jakarta, Indonesia",1,-6.171459999999968,106.82648000000006,Duka Sedalam Cinta
"Carbondale, Illinois, USA",1,37.72730000000007,-89.21579999999994,The Hate
"Hawaii, USA",1,21.439542579000033,-157.94363192999998,"""Inhumans"""
"Allahabad, Uttar Pradesh, India",1,25.436090000000036,81.84718000000004,"""Iss Pyaar Ko Kya Naam Doon 3"""
"San Francisco, California, USA",1,37.777120000000025,-122.41963999999996,7x7
"Barcelona, Catalonia, Spain",1,41.38561000000004,2.1687200000000644,Hiperion
"Boulevard Raspail, Paris 14, Paris, France",1,48.84275000000008,2.329270000000065,Le Redoutable
"Dudley Tunnel, Dudley, West Midlands, England, UK",1,52.49609381911827,-2.06574119884992,The Boy Who Had It All
"Al Mamzar, Reem 2 building, Dubai, United Arab Emirates",1,25.282980000000066,55.35418000000004,The Syndrome Family
"Albuquerque, New Mexico, USA",1,35.08423000000005,-106.64904999999999,"""iLunchbox"""
"Erbil, Kurdistan, Iraq",1,37.00000000000006,44.00000000000006,Lost on the Border
United Arab Emirates,1,23.914869621000037,54.32685818400006,Evangelist Patience Ozokwo Part4
"Mission, Texas, USA",1,26.21556000000004,-98.32574999999997,The Swindle
"Auckland, New Zealand",1,-36.70917666799994,174.7330887700001,"""The 48 Hour Destination"""
"Studio 60, Los Angeles, California, USA",1,34.140310000000056,-118.37665999999996,Necessary Evil
"Tampa, Florida, USA",1,27.946530000000052,-82.45926999999995,Joel D. Wynkoop's Psychos R Us
"Kiev, Ukraine",1,50.45056000000005,30.524280000000033,Myr vashomy domy!
"Venice, Los Angeles, California, USA",1,33.987540000000024,-118.47214999999994,"""American Vandal"""
France,1,46.55941704400004,2.5505399530000545,Flowing Water
Ireland,1,53.17587984600004,-8.14600614699998,Conscious: Fulfilling Our Higher Evolutionary Potential
